name,slug,timed_or_repped,tracking_mode,equipment,required_equipment,optional_or_support_equipment,equipment_slugs,equipment_bucket,exercise_type,primary_muscle,source_line,correct_tracking_mode,correct_equipment,notes
Stability Ball Rollout,stability_ball_rollout,repped,reps,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,core,6198,,,
Stir-the-Pot,stir_the_pot,repped,reps,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,core,5574,,,
Suitcase Carry,suitcase_carry,distance,distance,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,core,2633,,,
TRX Fallout,trx_fallout,repped,reps,Suspension trainer,Suspension trainer,None,suspension_trainer,bodyweight,strength,core,4077,,,
TRX Pike,trx_pike,repped,reps,Suspension trainer,Suspension trainer,None,suspension_trainer,bodyweight,strength,core,4060,,,
Toe Touch Crunch,toe_touch_crunch,repped,reps,None,None,None,None,bodyweight,strength,core,7367,,,
Toes-to-Bar,toes_to_bar,repped,reps,Pull-up bar,Pull-up bar,None,pull_up_bar,bodyweight,strength,core,3617,,,
V-Up,v_up,repped,reps,None,None,None,None,bodyweight,strength,core,5621,,,
Weighted Plank,weighted_plank,timed,time,Weight plates; Weighted vest,None,Weight plates; Weighted vest,weight_plates; weighted_vest,other,strength,core,3649,,,
Weighted Sit-up,weighted_situp,repped,reps,Dumbbells,Dumbbells,None,dumbbells,gym,strength,core,5651,,,
Farmer Hold,farmer_hold,timed,time,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,forearms,4941,,,
Plate Pinch,plate_pinch,timed,time,Weight plates,Weight plates,None,weight_plates,gym,strength,forearms,4926,,,
Reverse Wrist Curl,reverse_wrist_curl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,forearms,4896,,,
Wrist Curl,wrist_curl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,forearms,4881,,,
Wrist Roller,wrist_roller,timed,time,Wrist roller,Wrist roller,None,wrist_roller,other,strength,forearms,4911,,,
Battle Ropes,battle_ropes,timed,time,Battle ropes,Battle ropes,None,battle_ropes,gym,cardio,full_body,2441,,,
Burpees,burpees,repped,reps,None,None,None,None,bodyweight,cardio,full_body,2488,,,
Rowing Machine,rowing_machine,timed,time,Rowing machine,Rowing machine,None,rowing_machine,cardio,cardio,full_body,2248,,,
Rowing Machine Intervals,rowing_machine_intervals,timed,time,Rowing machine,Rowing machine,None,rowing_machine,cardio,cardio,full_body,2267,,,
Squat Thrusts,squat_thrusts,repped,reps,None,None,None,None,bodyweight,cardio,full_body,7182,,,
Deep Squat Hold,deep_squat_hold,timed,time,None,None,None,None,bodyweight,mobility,full_body,6030,,,
Sun Salutation,sun_salutation,repped,reps,Yoga mat,None,Yoga mat,yoga_mat,bodyweight,mobility,full_body,6408,,,
World's Greatest Stretch,worlds_greatest_stretch,repped,reps,None,None,None,None,bodyweight,mobility,full_body,5982,,,
Clean & Jerk,clean_and_jerk,repped,reps,Barbell,Barbell,None,barbell,gym,strength,full_body,4006,,,
Dumbbell Snatch,dumbbell_snatch,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,full_body,3579,,,
Farmer Carry,farmer_carry,distance,distance,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,full_body,2577,,,
Hang Clean,hang_clean,repped,reps,Barbell,Barbell,None,barbell,gym,strength,full_body,3970,,,
Hang Snatch,hang_snatch,repped,reps,Barbell,Barbell,None,barbell,gym,strength,full_body,4024,,,
Kettlebell Snatch,kettlebell_snatch,repped,reps,Kettlebell,Kettlebell,None,kettlebell,other,strength,full_body,3847,,,
Kettlebell Swing,kettlebell_swing,repped,reps,Kettlebell,Kettlebell,None,kettlebell,other,strength,full_body,2468,,,
Med Ball Slam,med_ball_slam,repped,reps,Medicine ball,Medicine ball,None,medicine_ball,other,strength,full_body,2614,,,
Medicine Ball Slam to Sprawl,medicine_ball_slam_to_sprawl,repped,reps,Medicine ball,Medicine ball,None,medicine_ball,other,strength,full_body,6923,,,
Power Clean,power_clean,repped,reps,Barbell,Barbell,None,barbell,gym,strength,full_body,3952,,,
Power Snatch,power_snatch,repped,reps,Barbell,Barbell,None,barbell,gym,strength,full_body,3988,,,
Sandbag Bear-Hug Carry,sandbag_bear_hug_carry,distance,distance,Sandbag,Sandbag,None,sandbag,other,strength,full_body,6969,,,
Sandbag Carry,sandbag_carry,distance,distance,Sandbag,Sandbag,None,sandbag,other,strength,full_body,4164,,,
Sandbag Clean,sandbag_clean,repped,reps,Sandbag,Sandbag,None,sandbag,other,strength,full_body,4146,,,
Sandbag Over Shoulder,sandbag_over_shoulder,repped,reps,Sandbag,Sandbag,None,sandbag,other,strength,full_body,4217,,,
Sandbag Shouldering,sandbag_shouldering,repped,reps,Sandbag,Sandbag,None,sandbag,other,strength,full_body,4199,,,
Sled Drag,sled_drag,distance,distance,Sled,Sled,None,sled,other,strength,full_body,2650,,,
Sled Push,sled_push,distance,distance,Sled,Sled,None,sled,other,strength,full_body,2594,,,
Thrusters,thrusters,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,full_body,2561,,,
Trap Bar Deadlift,trap_bar_deadlift,repped,reps,Trap bar,Trap bar,None,trap_bar,gym,strength,full_body,2667,,,
Turkish Get-up,turkish_getup,repped,reps,Kettlebell,Kettlebell,None,kettlebell,other,strength,full_body,3830,,,
Wall Ball Shot,wall_ball_shot,repped,reps,Medicine ball,Medicine ball,None,medicine_ball,other,strength,full_body,6892,,,
90/90 Hip Switch,hip_90_90_switch,repped,reps,None,None,None,None,bodyweight,mobility,glutes,5998,,,
Foam Roller Glute Release,foam_roller_glute_release,timed,time,Foam roller,Foam roller,None,foam_roller,home,mobility,glutes,6643,,,
Hip Airplane,hip_airplane,repped,reps,None,None,None,None,bodyweight,mobility,glutes,6014,,,
Pigeon Pose,pigeon_pose,timed,time,Yoga mat,None,Yoga mat,yoga_mat,bodyweight,mobility,glutes,6462,,,
Pigeon Stretch,pigeon_stretch,timed,time,None,None,None,None,bodyweight,mobility,glutes,6094,,,
Warrior II,warrior_two,timed,time,Yoga mat,None,Yoga mat,yoga_mat,bodyweight,mobility,glutes,6444,,,
Back Extension (Glute Focused),back_extension_glute,repped,reps,Hyperextension bench,Hyperextension bench,None,hyperextension_bench,gym,strength,glutes,695,,,
Band Glute Kickback,band_glute_kickback,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,glutes,6390,,,
Band Hip Thrust,band_hip_thrust,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,glutes,6288,,,
Band Lateral Walk,band_lateral_walk,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,glutes,6305,,,
Banded Glute Bridge,banded_glute_bridge,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,gym,strength,glutes,5256,,,
Banded Lateral Walk,banded_lateral_walk,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,gym,strength,glutes,5271,,,
Cable Glute Kickback,cable_glute_kickback,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,glutes,1617,,,
Cable Hip Abduction,cable_hip_abduction,repped,reps,Cable machine; Cable ankle strap,Cable machine; Cable ankle strap,None,cable_machine; ankle_strap,gym,strength,glutes,5316,,,
Cable Pull-Through,cable_pull_through,repped,reps,Cable machine; Cable rope attachment,Cable machine; Cable rope attachment,None,cable_machine; rope_attachment,gym,strength,glutes,3314,,,
Clamshell,clamshell,repped,reps,Resistance bands (tube),None,Resistance bands (tube),resistance_bands,bodyweight,strength,glutes,5301,,,
Curtsy Lunge,curtsy_lunge,repped,reps,Dumbbells,None,Dumbbells,dumbbells,dumbbells,strength,glutes,3365,,,
Donkey Kicks,donkey_kicks,repped,reps,Dumbbells; Resistance bands (tube),None,Dumbbells; Resistance bands (tube),dumbbells; resistance_bands,bodyweight,strength,glutes,1633,,,
Dumbbell Hip Thrust,dumbbell_hip_thrust,repped,reps,Dumbbells; Flat bench,Dumbbells; Flat bench,None,dumbbells; flat_bench,dumbbells,strength,glutes,5223,,,
Fire Hydrants,fire_hydrants,repped,reps,None,None,None,None,bodyweight,strength,glutes,1650,,,
Frog Pump,frog_pump,repped,reps,None,None,None,None,bodyweight,strength,glutes,5241,,,
Glute Bridge,glute_bridge,repped,reps,None,None,None,None,bodyweight,strength,glutes,1589,,,
Glute Kickback Machine,glute_kickback_machine,repped,reps,Hip abduction machine,Hip abduction machine,None,hip_abduction_machine,gym,strength,glutes,5334,,,
Hip Abduction Machine,hip_abduction_machine,repped,reps,Hip abduction machine,Hip abduction machine,None,hip_abduction_machine,gym,strength,glutes,1664,,,
Hip Thrust,hip_thrust,repped,reps,Barbell; Flat bench,Barbell; Flat bench,None,barbell; flat_bench,gym,strength,glutes,1572,,,
Hip Thrust Machine,hip_thrust_machine,repped,reps,Hip thrust machine,Hip thrust machine,None,hip_thrust_machine,gym,strength,glutes,5190,,,
Mini-Band Clamshell,mini_band_clamshell,repped,reps,Mini band (loop),Mini band (loop),None,mini_band,home,strength,glutes,6533,,,
Mini-Band Glute Bridge Abduction,mini_band_glute_bridge_abduction,repped,reps,Mini band (loop),Mini band (loop),None,mini_band,home,strength,glutes,6548,,,
Mini-Band Lateral Walk,mini_band_lateral_walk,repped,reps,Mini band (loop),Mini band (loop),None,mini_band,home,strength,glutes,6503,,,
Mini-Band Monster Walk,mini_band_monster_walk,repped,reps,Mini band (loop),Mini band (loop),None,mini_band,home,strength,glutes,6518,,,
Mini-Band Quadruped Kickback,mini_band_quadruped_kickback,repped,reps,Mini band (loop),Mini band (loop),None,mini_band,home,strength,glutes,6563,,,
Monster Walk,monster_walk,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,gym,strength,glutes,5286,,,
Single-leg Glute Bridge,single_leg_glute_bridge,repped,reps,None,None,None,None,bodyweight,strength,glutes,1603,,,
Smith Machine Hip Thrust,smith_machine_hip_thrust,repped,reps,Smith machine; Flat bench,Smith machine; Flat bench,None,smith_machine; flat_bench,gym,strength,glutes,5205,,,
Hamstring Floss,hamstring_floss,repped,reps,None,None,None,None,bodyweight,mobility,hamstrings,6110,,,
Banded Hamstring Curl,banded_hamstring_curl,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,gym,strength,hamstrings,5156,,,
Dumbbell Romanian Deadlift,dumbbell_rdl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,hamstrings,3297,,,
Glute Ham Raise,glute_ham_raise,repped,reps,Glute-ham developer,Glute-ham developer,None,ghd,gym,strength,hamstrings,3415,,,
Good Morning,good_morning,repped,reps,Barbell,Barbell,None,barbell,gym,strength,hamstrings,1502,,,
Leg Curl,leg_curl,repped,reps,Leg curl machine,Leg curl machine,None,leg_curl_machine,gym,strength,hamstrings,1470,,,
Lying Leg Curl,lying_leg_curl,repped,reps,Leg curl machine,Leg curl machine,None,leg_curl_machine,gym,strength,hamstrings,5126,,,
Nordic Curl,nordic_curl,repped,reps,Nordic strap / foot anchor,Nordic strap / foot anchor,None,nordic_anchor,bodyweight,strength,hamstrings,1518,,,
Romanian Deadlift,romanian_deadlift,repped,reps,Barbell,Barbell,None,barbell,gym,strength,hamstrings,391,,,
Seated Hamstring Curl,seated_hamstring_curl,repped,reps,Leg curl machine,Leg curl machine,None,leg_curl_machine,gym,strength,hamstrings,1486,,,
Single-Leg Lying Leg Curl,single_leg_leg_curl,repped,reps,Leg curl machine,Leg curl machine,None,leg_curl_machine,gym,strength,hamstrings,3399,,,
Single-leg Romanian Deadlift,single_leg_rdl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,hamstrings,1535,,,
Slider Hamstring Curl,slider_hamstring_curl,repped,reps,Slider discs,Slider discs,None,slider_discs,home,strength,hamstrings,5111,,,
Smith Machine Romanian Deadlift,smith_machine_rdl,repped,reps,Smith machine,Smith machine,None,smith_machine,gym,strength,hamstrings,1551,,,
Stability Ball Hamstring Curl,stability_ball_hamstring_curl,repped,reps,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,hamstrings,5096,,,
Standing Single-Leg Curl,standing_single_leg_curl,repped,reps,Leg curl machine,Leg curl machine,None,leg_curl_machine,gym,strength,hamstrings,5141,,,
TRX Hamstring Curl,trx_hamstring_curl,repped,reps,Suspension trainer,Suspension trainer,None,suspension_trainer,bodyweight,strength,hamstrings,4111,,,
Couch Stretch,couch_stretch,timed,time,None,None,None,None,bodyweight,mobility,quads,1451,,,
Foam Roller Quad Release,foam_roller_quad_release,timed,time,Foam roller,Foam roller,None,foam_roller,home,mobility,quads,6627,,,
Lizard Pose,lizard_pose,timed,time,Yoga mat,None,Yoga mat,yoga_mat,bodyweight,mobility,quads,6480,,,
Warrior I,warrior_one,timed,time,Yoga mat,None,Yoga mat,yoga_mat,bodyweight,mobility,quads,6426,,,
Assisted Pistol Squat,assisted_pistol_squat,repped,reps,Resistance bands (tube),None,Resistance bands (tube),resistance_bands,bodyweight,strength,quads,5004,,,
Band Squat,band_squat,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,quads,6271,,,
Barbell Squat,barbell_squat,repped,reps,Barbell; Squat rack,Barbell; Squat rack,None,barbell; squat_rack,gym,strength,quads,1211,,,
Belt Squat,belt_squat,repped,reps,Belt squat machine,Belt squat machine,None,belt_squat_machine,gym,strength,quads,4959,,,
Bodyweight Squat,bodyweight_squat,repped,reps,None,None,None,None,bodyweight,strength,quads,1405,,,
Box Jump,box_jump,repped,reps,"Plyo box (24""+)","Plyo box (24""+)",None,plyo_box,gym,strength,quads,2506,,,
Broad Jump,broad_jump,repped,reps,None,None,None,None,bodyweight,strength,quads,2526,,,
Bulgarian Split Squat,bulgarian_split_squat,repped,reps,Flat bench; Dumbbells,Flat bench,Dumbbells,flat_bench; dumbbells,dumbbells,strength,quads,1309,,,
Chair Step-up,chair_step_up,repped,reps,Sturdy chair / low surface,Sturdy chair / low surface,None,sturdy_chair,home,strength,quads,3734,,,
Cossack Squat,cossack_squat,repped,reps,None,None,None,None,bodyweight,strength,quads,5019,,,
Depth Jump,depth_jump,repped,reps,"Plyo box (24""+)","Plyo box (24""+)",None,plyo_box,gym,strength,quads,2945,,,
Front Squat,front_squat,repped,reps,Barbell; Squat rack,Barbell; Squat rack,None,barbell; squat_rack,gym,strength,quads,1228,,,
Goblet Squat,goblet_squat,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,quads,1368,,,
Hack Squat,hack_squat,repped,reps,Hack squat machine,Hack squat machine,None,hack_squat_machine,gym,strength,quads,1277,,,
Heel-Elevated Goblet Squat,heel_elevated_goblet_squat,repped,reps,Dumbbells; Weight plates,Dumbbells,Weight plates,dumbbells; weight_plates,dumbbells,strength,quads,3331,,,
Jump Squats,jump_squats,repped,reps,None,None,None,None,bodyweight,strength,quads,2543,,,
Kettlebell Goblet Lunge,kettlebell_goblet_lunge,repped,reps,Kettlebell,Kettlebell,None,kettlebell,other,strength,quads,3900,,,
Landmine Squat,landmine_squat,repped,reps,Barbell; Landmine attachment,Barbell; Landmine attachment,None,barbell; landmine_attachment,gym,strength,quads,1434,,,
Lateral Bound,lateral_bound,repped,reps,None,None,None,None,bodyweight,strength,quads,3484,,,
Lateral Lunge,lateral_lunge,repped,reps,Dumbbells,None,Dumbbells,dumbbells,dumbbells,strength,quads,3349,,,
Lateral Step-up,lateral_step_up,repped,reps,"Plyo box (24""+); Flat bench; Dumbbells","Plyo box (24""+)",Flat bench; Dumbbells,plyo_box; flat_bench; dumbbells,dumbbells,strength,quads,3381,,,
Leg Extension,leg_extension,repped,reps,Leg extension,Leg extension,None,leg_extension_machine,gym,strength,quads,1261,,,
Leg Press,leg_press,repped,reps,Leg press,Leg press,None,leg_press_machine,gym,strength,quads,1245,,,
Low Box Step-up,low_box_step_up,repped,reps,"Plyo box (24""+)","Plyo box (24""+)",None,plyo_box,gym,strength,quads,5064,,,
Pendulum Squat,pendulum_squat,repped,reps,Hack squat machine,Hack squat machine,None,hack_squat_machine,gym,strength,quads,4974,,,
Pistol Squat,pistol_squat,repped,reps,None,None,None,None,bodyweight,strength,quads,4989,,,
Reverse Lunges,reverse_lunges,repped,reps,Dumbbells,None,Dumbbells,dumbbells,bodyweight,strength,quads,1349,,,
Reverse Nordic Curl,reverse_nordic_curl,repped,reps,Nordic strap / foot anchor,Nordic strap / foot anchor,None,nordic_anchor,home,strength,quads,5171,,,
Sandbag Front Squat,sandbag_front_squat,repped,reps,Sandbag,Sandbag,None,sandbag,other,strength,quads,6939,,,
Sandbag Reverse Lunge,sandbag_reverse_lunge,repped,reps,Sandbag,Sandbag,None,sandbag,other,strength,quads,6954,,,
Sandbag Squat,sandbag_squat,repped,reps,Sandbag,Sandbag,None,sandbag,other,strength,quads,4182,,,
Single-Leg Box Jump,single_leg_box_jump,repped,reps,"Plyo box (24""+)","Plyo box (24""+)",None,plyo_box,gym,strength,quads,3466,,,
Sissy Squat,sissy_squat,repped,reps,None,None,None,None,bodyweight,strength,quads,5034,,,
Slant Board Goblet Squat,slant_board_goblet_squat,repped,reps,Dumbbells; Slant board,Dumbbells; Slant board,None,dumbbells; slant_board,dumbbells,strength,quads,6739,,,
Slider Reverse Lunge,slider_reverse_lunge,repped,reps,Slider discs,Slider discs,None,slider_discs,bodyweight,strength,quads,6788,,,
Smith Machine Split Squat,smith_machine_split_squat,repped,reps,Smith machine,Smith machine,None,smith_machine,gym,strength,quads,5079,,,
Smith Machine Squat,smith_machine_squat,repped,reps,Smith machine,Smith machine,None,smith_machine,gym,strength,quads,1293,,,
Spanish Squat,spanish_squat,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,gym,strength,quads,5049,,,
Split Squat,split_squat,repped,reps,Dumbbells,None,Dumbbells,dumbbells,dumbbells,strength,quads,2906,,,
Split Squat Jump,split_squat_jump,repped,reps,None,None,None,None,bodyweight,strength,quads,3499,,,
Stability Ball Wall Squat,stability_ball_wall_squat,repped,reps,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,quads,6234,,,
Step Platform Lateral Step-down,step_platform_lateral_step_down,repped,reps,Step platform (low),Step platform (low),None,step_platform,bodyweight,strength,quads,6692,,,
Step Platform Step-up,step_platform_step_up,repped,reps,Step platform (low),Step platform (low),None,step_platform,bodyweight,strength,quads,6677,,,
Step-ups,step_ups,repped,reps,"Plyo box (24""+); Flat bench; Dumbbells","Plyo box (24""+)",Flat bench; Dumbbells,plyo_box; flat_bench; dumbbells,dumbbells,strength,quads,1384,,,
Sumo Squat,sumo_squat,repped,reps,Dumbbells,None,Dumbbells,dumbbells,dumbbells,strength,quads,1716,,,
TRX Single-Leg Squat,trx_single_leg_squat,repped,reps,Suspension trainer,Suspension trainer,None,suspension_trainer,bodyweight,strength,quads,4128,,,
Trap Bar Jump,trap_bar_jump,repped,reps,Trap bar,Trap bar,None,trap_bar,gym,strength,quads,2925,,,
Tuck Jump,tuck_jump,repped,reps,None,None,None,None,bodyweight,strength,quads,3514,,,
Walking Lunges,walking_lunges,repped,reps,Dumbbells,None,Dumbbells,dumbbells,bodyweight,strength,quads,1331,,,
Wall Sit,wall_sit,timed,time,None,None,None,None,bodyweight,strength,quads,1419,,,
Weighted Vest Step-up,weighted_vest_step_up,repped,reps,Weighted vest; Step platform (low),Weighted vest; Step platform (low),None,weighted_vest; step_platform,bodyweight,strength,quads,7015,,,
Weighted Vest Walking Lunge,weighted_vest_walking_lunge,repped,reps,Weighted vest,Weighted vest,None,weighted_vest,bodyweight,strength,quads,7000,,,
Cuban Press,cuban_press,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,mobility,shoulders,2063,,,
External Rotation (Band),external_rotation_band,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,mobility,shoulders,2014,,,
Internal Rotation (Band),internal_rotation_band,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,mobility,shoulders,2031,,,
Wall Slide,wall_slide,repped,reps,None,None,None,None,bodyweight,mobility,shoulders,926,,,
Y-Raise,y_raise,repped,reps,Dumbbells; Resistance bands (tube),None,Dumbbells; Resistance bands (tube),dumbbells; resistance_bands,dumbbells,mobility,shoulders,3191,,,
Arnold Press,arnold_press,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,shoulders,767,,,
Band Face Pull,band_face_pull,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,shoulders,6322,,,
Band Pull-Apart,band_pull_apart,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,shoulders,910,,,
Band Shoulder Press,band_shoulder_press,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,shoulders,6373,,,
Barbell High Pull,barbell_high_pull,repped,reps,Barbell,Barbell,None,barbell,gym,strength,shoulders,4663,,,
Cable Front Raise,cable_front_raise,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,shoulders,4633,,,
Cable Lateral Raise,cable_lateral_raise,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,shoulders,847,,,
Cable Rear Delt Fly,cable_rear_delt_fly,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,shoulders,3141,,,
Dumbbell Shoulder Press,dumbbell_shoulder_press,repped,reps,Dumbbells; Adjustable bench,Dumbbells,Adjustable bench,dumbbells; adjustable_bench,dumbbells,strength,shoulders,750,,,
Face Pull,face_pull,repped,reps,Cable machine; Cable rope attachment,Cable machine; Cable rope attachment,None,cable_machine; rope_attachment,gym,strength,shoulders,603,,,
Face Pull External Rotation,face_pull_external_rotation,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,shoulders,4679,,,
Front Raise,front_raise,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,shoulders,815,,,
Handstand Push-up,handstand_pushup,repped,reps,None,None,None,None,bodyweight,strength,shoulders,4600,,,
Incline Bench Rear Delt Raise,incline_bench_rear_delt_raise,repped,reps,Dumbbells; Incline bench,Dumbbells; Incline bench,None,dumbbells; incline_bench,dumbbells,strength,shoulders,6857,,,
Kettlebell Clean & Press,kettlebell_clean_and_press,repped,reps,Kettlebell,Kettlebell,None,kettlebell,other,strength,shoulders,3865,,,
Kettlebell Halo,kettlebell_halo,repped,reps,Kettlebell,Kettlebell,None,kettlebell,other,strength,shoulders,3917,,,
Landmine Press,landmine_press,repped,reps,Barbell; Landmine attachment,Barbell; Landmine attachment,None,barbell; landmine_attachment,gym,strength,shoulders,893,,,
Lateral Raise,lateral_raise,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,shoulders,799,,,
Leaning Cable Lateral Raise,leaning_cable_lateral_raise,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,shoulders,4615,,,
Machine Lateral Raise,machine_lateral_raise,repped,reps,Lateral raise machine,Lateral raise machine,None,lateral_raise_machine,gym,strength,shoulders,3175,,,
Machine Shoulder Press,machine_shoulder_press,repped,reps,Shoulder press machine,Shoulder press machine,None,shoulder_press_machine,gym,strength,shoulders,783,,,
Mini-Band External Rotation,mini_band_external_rotation,repped,reps,Mini band (loop),Mini band (loop),None,mini_band,home,strength,shoulders,6578,,,
Overhead Press,overhead_press,repped,reps,Barbell,Barbell,None,barbell,gym,strength,shoulders,718,,,
Pike Push-ups,pike_pushups,repped,reps,None,None,None,None,bodyweight,strength,shoulders,879,,,
Push Press,push_press,repped,reps,Barbell,Barbell,None,barbell,gym,strength,shoulders,734,,,
Rear Delt Fly,rear_delt_fly,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,shoulders,831,,,
Rear Delt Row,rear_delt_row,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,shoulders,4648,,,
Reverse Pec Deck,reverse_pec_deck,repped,reps,Pec deck machine,Pec deck machine,None,pec_deck_machine,gym,strength,shoulders,3158,,,
Seated Barbell Shoulder Press,seated_barbell_shoulder_press,repped,reps,Barbell; Adjustable bench,Barbell; Adjustable bench,None,barbell; adjustable_bench,gym,strength,shoulders,4567,,,
Single-Arm Dumbbell Shoulder Press,single_arm_db_shoulder_press,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,shoulders,2833,,,
TRX Y-Fly,trx_y_fly,repped,reps,Suspension trainer,Suspension trainer,None,suspension_trainer,bodyweight,strength,shoulders,4094,,,
Upright Row,upright_row,repped,reps,Barbell,Barbell,None,barbell,gym,strength,shoulders,863,,,
Z Press,z_press,repped,reps,Barbell,Barbell,None,barbell,gym,strength,shoulders,4585,,,
Band Tricep Pushdown,band_tricep_pushdown,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,triceps,6356,,,
Bench Dips,bench_dips,repped,reps,Flat bench,Flat bench,None,flat_bench,bodyweight,strength,triceps,1169,,,
Cable Overhead Tricep Extension,cable_overhead_tricep_extension,repped,reps,Cable machine; Cable rope attachment,Cable machine; Cable rope attachment,None,cable_machine; rope_attachment,gym,strength,triceps,3261,,,
Cable Skull Crusher,cable_skull_crusher,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,triceps,4810,,,
Close-grip Bench Press,close_grip_bench_press,repped,reps,Barbell; Flat bench,Barbell; Flat bench,None,barbell; flat_bench,gym,strength,triceps,1136,,,
Cross-Body Cable Tricep Extension,cross_body_cable_tricep_extension,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,triceps,4825,,,
Diamond Push-ups,diamond_pushups,repped,reps,None,None,None,None,bodyweight,strength,triceps,256,,,
Dumbbell Skull Crusher,dumbbell_skull_crusher,repped,reps,Dumbbells; Flat bench,Dumbbells; Flat bench,None,dumbbells; flat_bench,dumbbells,strength,triceps,4843,,,
Dumbbell Tricep Kickbacks,kickbacks,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,triceps,1190,,,
JM Press,jm_press,repped,reps,Barbell; Flat bench,Barbell; Flat bench,None,barbell; flat_bench,gym,strength,triceps,4861,,,
Machine Tricep Dip,machine_tricep_dip,repped,reps,Assisted pull-up machine,Assisted pull-up machine,None,assisted_pullup_machine,gym,strength,triceps,4795,,,
Overhead Tricep Extension,overhead_tricep_extension,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,triceps,1153,,,
Rope Pushdown,rope_pushdown,repped,reps,Cable machine; Cable rope attachment,Cable machine; Cable rope attachment,None,cable_machine; rope_attachment,gym,strength,triceps,1119,,,
Single-Arm Cable Pushdown,single_arm_pushdown,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,triceps,3278,,,
Skull Crusher,skull_crusher,repped,reps,EZ curl bar; Flat bench,EZ curl bar; Flat bench,None,ez_curl_bar; flat_bench,gym,strength,triceps,1086,,,
Tricep Pushdown,tricep_pushdown,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,triceps,1103,,,
